Product ID,Brand,Model,Display Name,Description,Type,Gender,Material,Retail Price,Thumbnail URL,Image 1 URL,Image 2 URL,Image 3 URL,StockX Link,Description Done,Color
P0011,Nike,Nike Air Max 270,Nike Air Max 270 Pink Foam (Women's),"The Nike Air Max 270 Pink Foam (Women's) features a mesh upper in Pink Foam with tonal embroidered Swoosh and Air 270 branding on the side and toe. The bisected midsole/outsole showcases an oversized visible Air unit and EVA foam, and displays three pink shades: Pink Foam, Pearl Pink, and Pink Rise. Details include a heel tab and Air 270 branding on the tongue. Available in women's sizes.",Running,women,Mesh,$150.00 ,https://images.stockx.com/images/Nike-Air-Max-270-Pink-Foam-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1750885835,https://images.stockx.com/360/Nike-Air-Max-270-Pink-Foam-Womens/Images/Nike-Air-Max-270-Pink-Foam-Womens/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1750857769,https://images.stockx.com/360/Nike-Air-Max-270-Pink-Foam-Womens/Images/Nike-Air-Max-270-Pink-Foam-Womens/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1750857769,https://images.stockx.com/360/Nike-Air-Max-270-Pink-Foam-Womens/Images/Nike-Air-Max-270-Pink-Foam-Womens/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1750857769,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fnike-air-max-270-pink-foam-womens,TRUE,Pink
P0012,adidas,adidas Stan Smith,adidas Stan Smith White Green (OG),"The adidas Stan Smith in Cloud White with a green heel tab features a leather upper with perforations along the midfoot that form the signature three-stripe pattern. It has flat nylon laces and an all-leather sock liner. The heel tab is branded in green. Construction emphasizes smooth leather panels and perforated ventilation, providing a clean, understated appearance and straightforward materials suited to everyday casual wear.",Casual,men,Leather,$80.00 ,https://images.stockx.com/images/Adidas-Stan-Smith-White-Green-OG-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/360/adidas-Stan-Smith-White-Green-OG/Images/adidas-Stan-Smith-White-Green-OG/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1635193044,https://images.stockx.com/360/adidas-Stan-Smith-White-Green-OG/Images/adidas-Stan-Smith-White-Green-OG/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1635193044,https://images.stockx.com/360/adidas-Stan-Smith-White-Green-OG/Images/adidas-Stan-Smith-White-Green-OG/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1635193044,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fadidas-stan-smith-white-green-og,TRUE,White/Green
P0013,Reebok,Reebok Club C 85 Satin,Reebok Club C 85 Satin Pink (Women's),"Classic lines meet feminine flair in the Reebok Club C 85 Satin, a women's casual sneaker crafted in smooth leather with subtle satin accents. Designed for everyday casual wear, it pairs sporty heritage with modern style for versatile outfits from errands to weekend outings. The low-profile silhouette and clean detailing deliver timeless style, while a supportive fit and soft feel keep your feet comfortable throughout the day. A polished choice for anyone seeking stylish comfort in a wardrobe staple.",Casual,women,Leather,$70.00 ,https://stockx-assets.imgix.net/media/Product-Placeholder-Default-20210415.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Freebok-club-c-85-satin-pink-womens,TRUE,Pink
P0014,Converse,Converse One Star Ox,Converse One Star Ox Black White,"The Converse One Star Ox brings classic skate style to your everyday rotation. Made in soft suede, this men's low-top offers durable grip and board feel ideal for skate sessions while keeping a sleek street-ready silhouette. The iconic One Star logo and clean lines deliver signature Converse style, while a supportive fit and padded collar provide lasting comfort for all-day wear. Versatile enough for the skatepark or casual outings, these shoes pair easily with jeans or shorts.",Skate,men,Suede,$75.00 ,https://images.stockx.com/images/Converse-One-Star-Ox-Vintage-Black-White.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1649906465,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fconverse-one-star-ox-vintage-black-white,TRUE,Black
P0015,Puma,Puma RS-Fast,Puma RS-Fast Colorblock Yellow (GS),"The Puma RS-Fast for kids blends bold, modern style with everyday comfort. A leather/synthetic upper gives durable support and easy cleaning, while a cushioned insole and padded collar offer comfortable wear for school, play and casual outings. Designed as a lifestyle sneaker, it pairs sporty lines and vibrant color options with a sturdy rubber outsole for reliable traction. Lightweight and breathable, the RS-Fast keeps young feet comfortable during busy days without sacrificing contemporary street-ready style.",Lifestyle,kids,Leather/Synthetic,$110.00 ,https://images.stockx.com/images/Puma-RS-Fast-Colorblock-Yellow-GS.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1624986617,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fpuma-rs-fast-colorblock-yellow-gs,TRUE,Yellow
P0016,Vans,Vans Authentic,Vans Authentic White,"Update your lineup with the Vans Authentic, a men's skate shoe built from durable canvas for reliable wear. Designed for skate use, it offers the grip and board feel riders need while delivering classic Vans style that pairs easily with street and casual looks. Low-profile silhouette and lightweight construction provide comfortable, broken-in feel for everyday wear. Clean lines and heritage details make these an essential blend of style and comfort for skating or daily wear.",Skate,men,Canvas,$50.00 ,https://images.stockx.com/images/Vans-Authentic-White.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1627414740,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fvans-authentic-white,TRUE,White
P0017,New Balance,New Balance Fresh Foam 1080v11,New Balance Fresh Foam 1080v11 Pale Blue (Women's),"Step into the New Balance Fresh Foam 1080v11, a women's running shoe that blends sleek style with everyday comfort. A lightweight mesh upper provides breathable support during runs, while the streamlined silhouette offers versatile street-to-trail appeal. Built for running, it gives a balanced feel for training and recovery miles without sacrificing on-trend style. Soft, cushioned underfoot and comfortable for long wear, this pair keeps your feet happy on short jogs or longer outings.",Running,women,Mesh,$150.00 ,https://images.stockx.com/images/New-Balance-Fresh-Foam-1080v11-Pale-Blue-Womens.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1726777738,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fnew-balance-fresh-foam-1080v11-pale-blue-womens,TRUE,Blue
P0018,ASICS,ASICS Gel-Nimbus 23,ASICS Gel-Nimbus 23 Sheet Rock,"The ASICS Gel-Nimbus 23 is a men's running shoe that blends clean, modern style with everyday comfort. Its breathable mesh upper keeps feet cool while providing a supportive fit for roads and long training runs. Designed for running, it offers a smooth, responsive ride and reliable durability mile after mile. The streamlined silhouette pairs well with athletic or casual looks, delivering the comfort and style runners expect without sacrificing performance.",Running,men,Mesh,$150.00 ,https://images.stockx.com/images/ASICS-Gel-Nimbus-23-Sheet-Rock.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1635369551,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fasics-gel-nimbus-23-sheet-rock,TRUE,Purple
P0019,Fila,Fila Ray Tracer TR 2,Fila Ray Tracer TR 2 Gardenia Dove Black (Women's),"Fila Ray Tracer TR 2 women's sneaker blends bold retro style with modern comfort. Crafted from durable synthetic materials, this fashion-forward silhouette elevates casual outfits with a chunky midsole and layered paneling. Designed for fashion use rather than performance, it delivers day-to-day comfort with a supportive fit and cushioned feel. Versatile and statement-making, the Ray Tracer TR 2 pairs well with jeans, skirts or athleisure looks for standout urban style.",Fashion,women,Synthetic,$70.00 ,https://images.stockx.com/images/Fila-Ray-Tracer-TR-2-Gardenia-Dove-Black-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1766081435,https://images.stockx.com/360/Fila-Ray-Tracer-TR-2-Gardenia-Dove-Black-Womens/Images/Fila-Ray-Tracer-TR-2-Gardenia-Dove-Black-Womens/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1765998970,https://images.stockx.com/360/Fila-Ray-Tracer-TR-2-Gardenia-Dove-Black-Womens/Images/Fila-Ray-Tracer-TR-2-Gardenia-Dove-Black-Womens/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1765998970,https://images.stockx.com/360/Fila-Ray-Tracer-TR-2-Gardenia-Dove-Black-Womens/Images/Fila-Ray-Tracer-TR-2-Gardenia-Dove-Black-Womens/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1765998970,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Ffila-ray-tracer-tr-2-gardenia-dove-black-womens,TRUE,Black
P0020,Skechers,Skechers Arch Fit Summits Ganarte,Skechers Arch Fit Summits Ganarte Grey Navy,"Skechers Arch Fit Summits Ganarte men's walking shoes combine breathable mesh uppers with a streamlined silhouette for everyday walking and long stints on your feet. The lightweight mesh promotes airflow while a supportive footbed and secure lacing deliver stable, comfortable wear mile after mile. Modern sport-inspired styling transitions effortlessly from casual outings to active errands, giving you a stylish look and dependable comfort built for walking routines.",Walking,men,Mesh,$70.00 ,https://images.stockx.com/images/Skechers-Arch-Fit-Summits-Ganarte-Grey-Navy.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1775339316,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fskechers-arch-fit-summits-ganarte-grey-navy,TRUE,Grey
P0021,Nike,Nike Air Force 1 Low '07,Nike Air Force 1 Low '07 White Python (Women's),"The Nike Air Force 1 White Python features a premium leather upper with a white python texture, offering a textured finish and subtle visual detail. It has a padded collar and tongue for added comfort and a durable rubber outsole for traction and long-term wear. These construction elements provide a balance of textured styling and practical performance suitable for everyday use.",Casual,women,Leather,$90.00 ,https://images.stockx.com/images/Nike-Air-Force-1-White-Python-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/360/Nike-Air-Force-1-White-Python/Images/Nike-Air-Force-1-White-Python/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1666164236,https://images.stockx.com/360/Nike-Air-Force-1-White-Python/Images/Nike-Air-Force-1-White-Python/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1666164236,https://images.stockx.com/360/Nike-Air-Force-1-White-Python/Images/Nike-Air-Force-1-White-Python/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1666164236,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fnike-air-force-1-white-python,TRUE,White
P0022,adidas,adidas NMD R1,adidas NMD R1 Black Signal Pink White,"Step into the adidas NMD R1, a sleek running sneaker crafted with breathable Primeknit for a sock-like fit. Designed for running, it delivers a lightweight feel and responsive stride while maintaining street-ready style that transitions from training to everyday wear. The low-profile silhouette and contemporary details make a modern fashion statement, and the Primeknit upper conforms comfortably to your foot for all-day wear. Perfect for runners who value both style and comfort.",Running,men,Primeknit,$140.00 ,https://images.stockx.com/images/adidas-NMD-R1-Black-Signal-Pink-White-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/360/adidas-NMD-R1-Black-Signal-Pink-White/Images/adidas-NMD-R1-Black-Signal-Pink-White/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1706297063,https://images.stockx.com/360/adidas-NMD-R1-Black-Signal-Pink-White/Images/adidas-NMD-R1-Black-Signal-Pink-White/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1706297063,https://images.stockx.com/360/adidas-NMD-R1-Black-Signal-Pink-White/Images/adidas-NMD-R1-Black-Signal-Pink-White/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1706297063,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fadidas-nmd-r1-black-signal-pink-white,TRUE,Black/Pink
P0023,Reebok,Reebok Zig Kinetica II,Reebok Zig Kinetica II ARS White Green (Women's),"Reebok Zig Kinetica II is a women's running shoe that blends contemporary style with everyday comfort. A breathable mesh upper keeps feet cool while providing a secure, supportive fit for training runs and daily wear. The sculpted silhouette and modern details make it as stylish on the street as it is functional on the pavement. Lightweight and comfortable underfoot, it’s built for runners who want a fashion-forward look without sacrificing run-ready performance.",Running,women,Mesh,$120.00 ,https://stockx-assets.imgix.net/media/Product-Placeholder-Default-20210415.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Freebok-zig-kinetica-ii-ars-white-green-w,TRUE,White
P0024,Converse,Converse Jack Purcell,Converse Jack Purcell Todd Snyder Navy,"The Converse Jack Purcell is a timeless, unisex casual sneaker crafted in durable canvas for breathable, lightweight wear. Its classic low-profile silhouette and signature smiling toe add effortless style to jeans, skirts or shorts, making it perfect for everyday casual use. The minimal design pairs easily with a wide range of outfits while providing reliable comfort for all-day walking and city life. A versatile wardrobe staple, the Jack Purcell blends heritage looks with easygoing comfort.",Casual,unisex,Canvas,$65.00 ,https://images.stockx.com/images/Converse-Jack-Purcell-Todd-Snyder-Navy-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/360/Converse-Jack-Purcell-Todd-Snyder-Navy/Images/Converse-Jack-Purcell-Todd-Snyder-Navy/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1658816095,https://images.stockx.com/360/Converse-Jack-Purcell-Todd-Snyder-Navy/Images/Converse-Jack-Purcell-Todd-Snyder-Navy/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1658816095,https://images.stockx.com/360/Converse-Jack-Purcell-Todd-Snyder-Navy/Images/Converse-Jack-Purcell-Todd-Snyder-Navy/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1658816095,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fconverse-jack-purcell-todd-snyder-navy,TRUE,Navy
P0025,Puma,Puma Calibrate Runner Luxe,Puma Calibrate Runner Luxe Black,"The Puma Calibrate Runner Luxe is a men's running shoe crafted with breathable mesh for airflow and a sleek silhouette. Built for running, it delivers reliable support and a refined look that moves easily from training to street. Plush interior padding and a structured fit provide lasting comfort mile after mile, while contemporary styling keeps your sessions looking sharp. Ideal for daily runs or casual wear, this Puma balances performance-ready design with modern, wearable style.",Running,men,Mesh,$80.00 ,https://images.stockx.com/images/Puma-Calibrate-Runner-Luxe-Black.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1645206871,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fpuma-calibrate-runner-luxe-black,TRUE,Black
